5;0.692073171;227;328;2700;3230;0.835913313
10;0.56122449;110;196;2473;2902;0.852170917
15;0.619565217;114;184;2363;2706;0.873244642
20;0.621621622;115;185;2249;2522;0.891752577
25;0.693333333;104;150;2134;2337;0.9131365
30;0.710344828;103;145;2030;2187;0.928212163
35;0.824675325;127;154;1927;2042;0.943682664
40;0.886524823;125;141;1800;1888;0.953389831
45;0.838461538;109;130;1675;1747;0.958786491
50;0.844660194;87;103;1566;1617;0.968460111
55;0.947826087;109;115;1479;1514;0.976882431
60;0.902439024;74;82;1370;1399;0.979270908
65;0.955752212;108;113;1296;1317;0.98405467
70;0.984848485;65;66;1188;1204;0.986710963
75;1;66;66;1123;1138;0.986818981
80;1;62;62;1057;1072;0.986007463
85;0.97260274;71;73;995;1010;0.985148515
90;0.960784314;49;51;924;937;0.986125934
95;1;53;53;875;886;0.98758465
100;0.946428571;53;56;822;833;0.986794718
105;0.966101695;57;59;769;777;0.98970399
110;0.98245614;56;57;712;718;0.991643454
115;1;39;39;656;661;0.992435703
120;1;41;41;617;622;0.991961415
125;1;42;42;576;581;0.991394148
130;1;31;31;534;539;0.990723562
135;0.961538462;25;26;503;508;0.99015748
140;1;24;24;478;482;0.991701245
145;1;18;18;454;458;0.991266376
150;1;15;15;436;440;0.990909091
155;1;25;25;421;425;0.990588235
160;1;26;26;396;400;0.99
165;1;21;21;370;374;0.989304813
170;1;17;17;349;353;0.988668555
175;0.956521739;22;23;332;336;0.988095238
180;0.9375;15;16;310;313;0.990415335
185;1;14;14;295;297;0.993265993
190;1;13;13;281;283;0.992932862
195;1;16;16;268;270;0.992592593
200;1;12;12;252;254;0.992125984
205;1;7;7;240;242;0.991735537
210;1;12;12;233;235;0.991489362
215;1;5;5;221;223;0.99103139
220;0.909090909;10;11;216;218;0.990825688
225;1;11;11;206;207;0.995169082
230;1;8;8;195;196;0.994897959
235;0.857142857;6;7;187;188;0.994680851
240;1;13;13;181;181;1
245;1;6;6;168;168;1
250;1;6;6;162;162;1
255;1;7;7;156;156;1
260;1;6;6;149;149;1
265;1;8;8;143;143;1
270;1;9;9;135;135;1
275;1;4;4;126;126;1
280;1;2;2;122;122;1
285;1;7;7;120;120;1
290;1;10;10;113;113;1
295;1;3;3;103;103;1
300;1;1;1;100;100;1
305;1;3;3;99;99;1
310;1;6;6;96;96;1
315;1;5;5;90;90;1
320;1;3;3;85;85;1
325;1;3;3;82;82;1
330;1;2;2;79;79;1
335;1;1;1;77;77;1
340;1;2;2;76;76;1
350;1;4;4;74;74;1
355;1;4;4;70;70;1
360;1;4;4;66;66;1
365;1;1;1;62;62;1
370;1;2;2;61;61;1
375;1;1;1;59;59;1
380;1;4;4;58;58;1
385;1;3;3;54;54;1
390;1;3;3;51;51;1
395;1;3;3;48;48;1
400;1;2;2;45;45;1
405;1;1;1;43;43;1
410;1;2;2;42;42;1
415;1;4;4;40;40;1
420;1;3;3;36;36;1
435;1;1;1;33;33;1
445;1;2;2;32;32;1
450;1;1;1;30;30;1
455;1;1;1;29;29;1
460;1;1;1;28;28;1
470;1;2;2;27;27;1
475;1;3;3;25;25;1
485;1;1;1;22;22;1
490;1;1;1;21;21;1
505;1;1;1;20;20;1
510;1;1;1;19;19;1
525;1;3;3;18;18;1
530;1;1;1;15;15;1
545;1;2;2;14;14;1
550;1;1;1;12;12;1
555;1;1;1;11;11;1
570;1;1;1;10;10;1
595;1;1;1;9;9;1
600;1;1;1;8;8;1
610;1;1;1;7;7;1
625;1;1;1;6;6;1
635;1;3;3;5;5;1
680;1;1;1;2;2;1
720;1;1;1;1;1;1
